runtime,workload,variant,iters,total_ns,min_ns,p50_ns,p95_ns,p99_ns,max_ns,rss_kb,notes
lua54,call_overhead,handwritten,1000000,18871693,18,18,18,18,18,2332,
lua54,call_overhead,tstl,1000000,20044304,20,20,20,20,20,2272,
lua54,ai_tick,handwritten,1200,451287848,353410,375600,384291,440320,505911,3948,
lua54,ai_tick,tstl,1200,509304037,410950,422240,433261,477560,518910,3728,
lua54,gc_pause,handwritten,1200,0,56160,93080,122380,168800,344220,2696,
lua54,gc_pause,tstl,1200,0,66270,97940,108740,142820,218340,2720,
lua54,math_loop,handwritten,100,2017535584,20175355,20175355,20175355,20175355,20175355,2552,
lua54,math_loop,tstl,100,2430506504,24305065,24305065,24305065,24305065,24305065,2472,
lua54,vm_startup,n/a,1000,0,15010,16060,20870,26360,54470,2292,
lua54,cache_eviction,handwritten,500,0,554600,561820,570430,575981,582391,6344,phase=baseline
lua54,cache_eviction,handwritten,500,0,559491,564150,569750,575630,578831,6740,phase=vm_pressure delta_p50_ns=2330
lua54,tick_budget,handwritten,1200,0,324331,349930,368000,414711,628520,3904,p=0 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,355910,377420,417231,715240,959850,5560,p=200 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,454200,481150,853251,900110,1240671,5928,p=2000 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,1470531,2315222,3025872,3203402,4040173,12144,p=20000 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,6772505,11131378,13639359,14060729,15361861,44256,p=100000 over60=0 over20=0
luajit,call_overhead,handwritten,1000000,10817517,10,10,10,10,10,2776,
luajit,call_overhead,tstl,1000000,10434147,10,10,10,10,10,2700,
luajit,ai_tick,handwritten,1200,29427480,22900,23640,27720,31020,110890,4220,
luajit,ai_tick,tstl,1200,46748222,31110,33790,52790,58370,104500,4228,
luajit,gc_pause,handwritten,1200,0,13270,40040,68040,99650,153580,3508,
luajit,gc_pause,tstl,1200,0,14870,37010,56350,83510,207400,3468,
luajit,math_loop,handwritten,100,166917243,1669172,1669172,1669172,1669172,1669172,2920,
luajit,math_loop,tstl,100,173495407,1734954,1734954,1734954,1734954,1734954,2916,
luajit,vm_startup,n/a,1000,0,31510,33030,41360,57190,80870,2656,
luajit,cache_eviction,handwritten,500,0,554530,561341,569400,576230,592471,6756,phase=baseline
luajit,cache_eviction,handwritten,500,0,556941,561611,570981,579390,827860,7580,phase=vm_pressure delta_p50_ns=270
luajit,tick_budget,handwritten,1200,0,25350,26270,29970,39410,46650,4244,p=0 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,26800,28850,47750,111540,182870,6592,p=200 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,49370,59430,277510,306970,990001,7768,p=2000 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,292161,732011,1332541,1461651,1893831,16748,p=20000 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,1395001,3775472,5988954,7439635,9819797,68032,p=100000 over60=0 over20=0
quickjs,call_overhead,handwritten,1000000,12086268,12,12,12,12,12,3188,
quickjs,call_overhead,tsc,1000000,11231178,11,11,11,11,11,3176,
quickjs,ai_tick,handwritten,1200,820928794,646470,681840,714451,764211,1558701,4280,
quickjs,ai_tick,tsc,1200,827133997,645720,684261,718540,930061,1149620,4232,
quickjs,gc_pause,handwritten,1200,0,144740,150050,184970,286520,297570,3388,
quickjs,gc_pause,tsc,1200,0,143140,147250,154810,163510,289930,3404,
quickjs,math_loop,handwritten,100,2989435353,29894353,29894353,29894353,29894353,29894353,3276,
quickjs,math_loop,tsc,100,2964250224,29642502,29642502,29642502,29642502,29642502,3268,
quickjs,vm_startup,n/a,1000,0,68130,75520,84990,143310,176070,3020,
