runtime,workload,variant,iters,total_ns,min_ns,p50_ns,p95_ns,p99_ns,max_ns,rss_kb,notes
lua54,call_overhead,handwritten,1000000,18871693,18,18,18,18,18,2332,
lua54,call_overhead,tstl,1000000,20044304,20,20,20,20,20,2272,
lua54,ai_tick,handwritten,1200,451287848,353410,375600,384291,440320,505911,3948,
lua54,ai_tick,tstl,1200,509304037,410950,422240,433261,477560,518910,3728,
lua54,gc_pause,handwritten,1200,0,56160,93080,122380,168800,344220,2696,
lua54,gc_pause,tstl,1200,0,66270,97940,108740,142820,218340,2720,
lua54,math_loop,handwritten,100,2017535584,20175355,20175355,20175355,20175355,20175355,2552,
lua54,math_loop,tstl,100,2430506504,24305065,24305065,24305065,24305065,24305065,2472,
lua54,vm_startup,n/a,1000,0,15010,16060,20870,26360,54470,2292,
lua54,cache_eviction,handwritten,500,0,554600,561820,570430,575981,582391,6344,phase=baseline
lua54,cache_eviction,handwritten,500,0,559491,564150,569750,575630,578831,6740,phase=vm_pressure delta_p50_ns=2330
lua54,tick_budget,handwritten,1200,0,324331,349930,368000,414711,628520,3904,p=0 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,355910,377420,417231,715240,959850,5560,p=200 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,454200,481150,853251,900110,1240671,5928,p=2000 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,1470531,2315222,3025872,3203402,4040173,12144,p=20000 over60=0 over20=0
lua54,tick_budget,handwritten,1200,0,6772505,11131378,13639359,14060729,15361861,44256,p=100000 over60=0 over20=0
