runtime,workload,variant,iters,total_ns,min_ns,p50_ns,p95_ns,p99_ns,max_ns,rss_kb,notes
luajit,call_overhead,handwritten,1000000,10817517,10,10,10,10,10,2776,
luajit,call_overhead,tstl,1000000,10434147,10,10,10,10,10,2700,
luajit,ai_tick,handwritten,1200,29427480,22900,23640,27720,31020,110890,4220,
luajit,ai_tick,tstl,1200,46748222,31110,33790,52790,58370,104500,4228,
luajit,gc_pause,handwritten,1200,0,13270,40040,68040,99650,153580,3508,
luajit,gc_pause,tstl,1200,0,14870,37010,56350,83510,207400,3468,
luajit,math_loop,handwritten,100,166917243,1669172,1669172,1669172,1669172,1669172,2920,
luajit,math_loop,tstl,100,173495407,1734954,1734954,1734954,1734954,1734954,2916,
luajit,vm_startup,n/a,1000,0,31510,33030,41360,57190,80870,2656,
luajit,cache_eviction,handwritten,500,0,554530,561341,569400,576230,592471,6756,phase=baseline
luajit,cache_eviction,handwritten,500,0,556941,561611,570981,579390,827860,7580,phase=vm_pressure delta_p50_ns=270
luajit,tick_budget,handwritten,1200,0,25350,26270,29970,39410,46650,4244,p=0 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,26800,28850,47750,111540,182870,6592,p=200 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,49370,59430,277510,306970,990001,7768,p=2000 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,292161,732011,1332541,1461651,1893831,16748,p=20000 over60=0 over20=0
luajit,tick_budget,handwritten,1200,0,1395001,3775472,5988954,7439635,9819797,68032,p=100000 over60=0 over20=0
