runtime,workload,variant,iters,total_ns,min_ns,p50_ns,p95_ns,p99_ns,max_ns,rss_kb,notes
quickjs,call_overhead,handwritten,1000000,12086268,12,12,12,12,12,3188,
quickjs,call_overhead,tsc,1000000,11231178,11,11,11,11,11,3176,
quickjs,ai_tick,handwritten,1200,820928794,646470,681840,714451,764211,1558701,4280,
quickjs,ai_tick,tsc,1200,827133997,645720,684261,718540,930061,1149620,4232,
quickjs,gc_pause,handwritten,1200,0,144740,150050,184970,286520,297570,3388,
quickjs,gc_pause,tsc,1200,0,143140,147250,154810,163510,289930,3404,
quickjs,math_loop,handwritten,100,2989435353,29894353,29894353,29894353,29894353,29894353,3276,
quickjs,math_loop,tsc,100,2964250224,29642502,29642502,29642502,29642502,29642502,3268,
quickjs,vm_startup,n/a,1000,0,68130,75520,84990,143310,176070,3020,
quickjs,cache_eviction,handwritten,500,0,554500,558930,568300,578920,606891,7308,phase=baseline
quickjs,cache_eviction,handwritten,500,0,557251,564021,573490,579391,606130,7488,phase=vm_pressure delta_p50_ns=5091
quickjs,tick_budget,handwritten,1200,0,654211,681990,714790,724681,757211,4288,p=0 over60=0 over20=0
quickjs,tick_budget,handwritten,1200,0,688131,746850,794640,806430,1026491,4324,p=200 over60=0 over20=0
quickjs,tick_budget,handwritten,1200,0,945031,985181,1030390,1139241,1671151,4692,p=2000 over60=0 over20=0
quickjs,tick_budget,handwritten,1200,0,3834602,3959943,4095353,4174443,5030513,7452,p=20000 over60=0 over20=0
quickjs,tick_budget,handwritten,1200,0,16268341,17163031,18045712,18632232,21604604,21568,p=100000 over60=1090 over20=0
